EbayID,Labels
171166,Ebay>Antiques>Furniture>PriceGuides_Publications
63589,Ebay>Antiques>Furniture>OtherAntiqueFurniture
163009,Ebay>Antiques>Home_Hearth>BabyCarriages_Buggies
163010,Ebay>Antiques>Home_Hearth>BabyCradles
163011,Ebay>Antiques>Home_Hearth>BathTubs
163012,Ebay>Antiques>Home_Hearth>ClothingWringers
163013,Ebay>Antiques>Home_Hearth>HearthWare
163014,Ebay>Antiques>Home_Hearth>IceBoxes
163015,Ebay>Antiques>Home_Hearth>MeatGrinders
163016,Ebay>Antiques>Home_Hearth>Sinks
163017,Ebay>Antiques>Home_Hearth>Stoves
163018,Ebay>Antiques>Home_Hearth>Toasters
151724,Ebay>Antiques>Home_Hearth>Trivets
163057,Ebay>Antiques>Home_Hearth>WashingMachines
163058,Ebay>Antiques>Home_Hearth>OtherAntiqueHome_Hearth
22422,Ebay>Antiques>Incunabula
166292,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>Bedspreads_Coverlets
166293,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>Blankets
166294,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>Pillowcases
166295,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>Sheets
166296,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>Towels
166297,Ebay>Antiques>Linens_Textiles_Pre_1930_>Bed_BathLinens>OtherAntiqueBed_BathLinen
20117,Ebay>Antiques>Linens_Textiles_Pre_1930_>Embroidery
66639,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Chenille
38001,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Cotton
66640,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Damask
66641,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Linen
38002,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Silk
66642,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Velvet
38003,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>Wool
73469,Ebay>Antiques>Linens_Textiles_Pre_1930_>Fabric>OtherAntiqueFabric
163107,Ebay>Antiques>Linens_Textiles_Pre_1930_>Feed_FlourSacks
163108,Ebay>Antiques>Linens_Textiles_Pre_1930_>Handkerchiefs
39450,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>Napkins
163110,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>Placemats
39451,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>Runners
39453,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>Tablecloths
39454,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>Towels
2220,Ebay>Antiques>Linens_Textiles_Pre_1930_>Kitchen_TableLinens>OtherAntiqueTableLinens
163109,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>Collars_Cuffs
39445,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>Doilies
39446,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>Runners
39447,Ebay>Antiques>Linens_Textiles_Pre_1930_>Lace_Crochet_Doilies>Tablecloths
